id,entity_name,issuer_name,isin,position_percent,position_date,timestamp
6736,ALCUR FONDER AB,Hemnet Group AB (publ),SE0015671995,1.1,2025-07-24,2025-07-25 08:50
6737,Citadel Advisors LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.59,2025-07-24,2025-07-25 10:41
6738,Citadel Advisors LLC,Hexatronic Group AB,SE0018040677,0.58,2025-07-24,2025-07-25 11:56
6739,MILLENNIUM INTERNATIONAL MANAGEMENT LP,MilDef Group AB,SE0016074249,0.5,2025-07-24,2025-07-25 12:23
6740,Connor Clark & Lunn Investment Management Ltd.,BioArctic AB,SE0010323311,0.5,2025-07-24,2025-07-25 12:23
6741,Alexander Schoeneck,MoveByBike Europe AB (publ),SE0015988100,1.65,2025-07-25,2025-07-25 13:07
6742,Marshall Wace LLP,Embracer Group AB,SE0023615885,1.05,2025-07-24,2025-07-25 13:07
6743,Armistice Capital LLC,Orexo AB,SE0000736415,0.0,2025-04-11,2025-07-25 13:43
6744,Arrowstreet Capital Limited Partnership,Cibus Nordic Real Estate AB (publ),SE0010832204,1.1,2025-07-24,2025-07-25 14:09
6745,Walleye Capital LLC,Aktiebolaget Electrolux,SE0016589188,0.59,2025-07-24,2025-07-25 14:27
6746,JPMorgan Asset Management (UK) Ltd,Billerud Aktiebolag (publ),SE0000862997,0.6,2025-07-24,2025-07-25 14:27
6747,Arrowstreet Capital Limited Partnership,Powercell Sweden AB (publ),SE0006425815,0.59,2025-07-24,2025-07-25 14:27
6748,Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,0.95,2025-07-24,2025-07-25 14:39
6749,Kintbury Capital LLP,Securitas AB,SE0000163594,0.0,2025-05-30,2025-07-25 18:01
6750,PDT Partners LLC,MilDef Group AB,SE0016074249,0.61,2025-07-25,2025-07-26 01:37
6751,PDT Partners LLC,Hexatronic Group AB,SE0018040677,1.3,2025-07-25,2025-07-26 01:37
6752,QUARTYS LIMITED,Biovica International AB,SE0008613731,0.72,2025-07-25,2025-07-28 10:49
6753,Citadel Advisors LLC,Hexatronic Group AB,SE0018040677,0.61,2025-07-25,2025-07-28 11:51
6754,Citadel Advisors Europe Limited,Essity Aktiebolag (publ),SE0009922164,0.0,2025-07-22,2025-07-28 11:51
6755,Brummer Multi-Strategy AB,Hoist Finance AB (publ),SE0006887063,0.0,2025-06-02,2025-07-28 12:19
6756,Brummer Multi-Strategy AB,BONESUPPORT HOLDING AB,SE0009858152,0.0,2025-07-21,2025-07-28 12:19
6757,Brummer Multi-Strategy AB,BONESUPPORT HOLDING AB,SE0009858152,0.85,2025-07-21,2025-07-28 13:36
6758,Millennium Capital (DIFC) Limited,Boliden AB,SE0020050417,0.0,2025-07-23,2025-07-28 13:36
6759,Qube Research & Technologies Limited,Smart Eye Aktiebolag (publ),SE0009268279,1.41,2025-07-25,2025-07-28 13:50
6760,Millennium Capital Partners LLP,Alleima AB,SE0017615644,0.82,2025-07-25,2025-07-28 13:50
6761,Ennismore Fund Management Ltd,Fasadgruppen Group AB (publ),SE0015195771,0.96,2025-07-25,2025-07-28 14:37
6762,Walleye Capital LLC,Aktiebolaget Electrolux,SE0016589188,0.6,2025-07-25,2025-07-28 15:34
6763,Alexander Schoeneck,MoveByBike Europe AB (publ),SE0015988100,0.0,2025-07-25,2025-07-29 09:50
6764,QUARTYS LIMITED,Biovica International AB,SE0008613731,0.83,2025-07-28,2025-07-29 10:21
6765,Citadel Advisors LLC,Hexatronic Group AB,SE0018040677,0.7,2025-07-28,2025-07-29 11:26
6766,Marshall Wace LLP,Clas Ohlson Aktiebolag,SE0000584948,0.0,2025-07-14,2025-07-29 11:55
6767,Wellington Management International Limited,Munters Group AB,SE0009806607,0.61,2025-07-28,2025-07-29 12:25
6768,BlackRock Financial Management Inc,Castellum Aktiebolag,SE0000379190,0.89,2025-07-28,2025-07-29 12:25
6769,BlackRock Financial Management Inc,Aktiebolaget Electrolux,SE0016589188,0.0,2025-07-23,2025-07-29 12:41
6770,Wellington Management International Limited,Truecaller AB,SE0016787071,0.85,2025-07-28,2025-07-29 12:52
6771,Walleye Capital LLC,Aktiebolaget Electrolux,SE0016589188,0.59,2025-07-28,2025-07-29 13:41
6772,Arrowstreet Capital Limited Partnership,Cibus Nordic Real Estate AB (publ),SE0010832204,1.21,2025-07-28,2025-07-29 14:40
6773,GUEVOURA FUND,Isofol Medical AB (publ),SE0009581051,0.0,2025-07-17,2025-07-29 14:54
6774,Fosse Capital Partners LLP,Intrum AB,SE0000936478,2.34,2025-07-28,2025-07-29 15:30
6775,QUARTYS LIMITED,Biovica International AB,SE0008613731,0.99,2025-07-29,2025-07-30 10:10
