id,timestamp,company_name,lei,position_percent,latest_position_date
38480,2025-07-25 01:07,Telia Company AB,213800FSR9RNDUOTXO25,1.23,2025-07-21
38481,2025-07-25 03:19,Instalco AB,549300DZ9ONT2AXY4029,3.55,2025-07-24
38482,2025-07-25 04:24,Svenska Cellulosa Aktiebolaget SCA,549300FW5JDRV1IJ0M67,3.46,2025-07-22
38483,2025-07-25 08:50,Evolution AB (publ),549300SUH6ZR1RF6TA88,3.57,2025-07-23
38484,2025-07-25 08:50,Hemnet Group AB (publ),5493008VIU67J3HUAR07,2.27,2025-07-24
38485,2025-07-25 08:50,Kinnevik AB,2138006PZH76JOS6MN27,2.28,2025-07-24
38486,2025-07-25 08:50,Cereno Scientific AB,549300VX8KTMYDS6NM84,0.85,2025-07-24
38487,2025-07-25 09:38,Dometic Group AB (publ),549300STIPMK5VSA7Y59,1.56,2025-07-24
38488,2025-07-25 09:42,H & M Hennes & Mauritz AB,529900O5RR7R39FRDM42,4.9,2025-07-24
38489,2025-07-25 10:08,Avanza Bank Holding AB,549300MBWR5H8SIJLE03,4.88,2025-07-24
38490,2025-07-25 10:23,Fabege AB,549300JNPI46XNH0PM97,5.33,2025-07-24
38491,2025-07-25 10:23,MilDef Group AB,9845009F7Q0D56B38270,4.48,2025-07-24
38492,2025-07-25 10:23,H & M Hennes & Mauritz AB,529900O5RR7R39FRDM42,4.8,2025-07-24
38493,2025-07-25 10:23,Biovica International AB,549300VADE1VRR555N78,1.24,2025-07-24
38494,2025-07-25 10:23,Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,11.62,2025-07-24
38495,2025-07-25 10:23,Asker Healthcare Group AB,636700RZEYK9TOWV8F05,0.11,2025-07-24
38496,2025-07-25 10:41,Logistea AB,549300ZSB0ZCKM1SL747,0.6,2025-07-10
38497,2025-07-25 10:41,SSAB AB,529900329VS14ZIML164,3.85,2025-07-24
38498,2025-07-25 10:41,Xvivo Perfusion Aktiebolag,549300G2464FYLS14B41,6.95,2025-07-24
